date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2022-12-22,4,-0.598526703499079,NA,NA,NA,-0.598526703499079,0,164800,648,-0.598526703499079,-0.598526703499079,-0.598526703499079,-0.598526703499079,NA,NA
2022-12-23,1,-0.587368421052632,NA,NA,NA,-0.587368421052632,NA,33798,144,-0.587368421052632,-0.587368421052632,-0.587368421052632,-0.587368421052632,NA,NA
2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-27,1,-0.432911392405063,NA,NA,NA,-0.432911392405063,NA,76061,337,-0.432911392405063,-0.43291139240506293,-0.43291139240506304,-0.432911392405063,NA,NA
2022-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-03,1,-0.471875,NA,NA,NA,-0.471875,NA,28320,166,-0.471875,-0.471875,-0.471875,-0.471875,NA,NA
2023-01-04,1,-0.56,NA,NA,NA,-0.56,NA,25495,128,-0.56,-0.56,-0.56,-0.56,NA,NA
2023-01-05,1,-0.566225165562914,NA,NA,NA,-0.566225165562914,NA,71463,185,-0.566225165562914,-0.566225165562914,-0.566225165562914,-0.566225165562914,NA,NA
2023-01-06,4,-0.50314465408805,NA,NA,NA,-0.50314465408805,0,191036,692,-0.50314465408805,-0.50314465408805,-0.50314465408805,-0.50314465408805,NA,NA
2023-01-06,4,-0.50314465408805,NA,NA,NA,-0.50314465408805,0,191036,692,-0.50314465408805,-0.50314465408805,-0.50314465408805,-0.50314465408805,NA,NA
2023-01-06,4,-0.50314465408805,NA,NA,NA,-0.50314465408805,0,191036,692,-0.50314465408805,-0.50314465408805,-0.50314465408805,-0.50314465408805,NA,NA
